test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
78,46,0,27,1056,1587
78,27,0,0,1056,1587
78,57,160,103,1056,1587
78,98,0,5,1056,1587
78,5,0,0,1056,1587
78,92,166,74,1056,1587
78,14,0,60,1056,1587
78,50,0,10,1056,1587
78,10,0,0,1056,1587
79,93,109,16,1410,4860
79,16,0,0,1410,4860
79,30,68,38,1410,4860
79,11,0,27,1410,4860
79,27,0,0,1410,4860
79,38,48,10,1410,4860
79,10,0,0,1410,4860
79,70,120,50,1410,4860
79,50,0,0,1410,4860
79,60,60,0,1410,4860
80,18,18,0,1176,2670
80,84,84,0,1176,2670
80,96,96,0,1176,2670
80,78,117,39,1176,2670
80,39,0,0,1176,2670
80,68,146,78,1176,2670
80,51,0,27,1176,2670
80,27,0,0,1176,2670
80,25,77,52,1176,2670
80,52,0,0,1176,2670
81,78,194,116,685,1041
81,67,0,49,685,1041
81,49,0,0,685,1041
81,65,259,194,685,1041
81,32,0,162,685,1041
81,88,0,74,685,1041
81,44,0,30,685,1041
81,30,0,0,685,1041
81,92,152,60,685,1041
81,60,0,0,685,1041
82,12,54,42,960,1664
82,37,0,5,960,1664
82,0,0,5,960,1664
82,5,0,0,960,1664
82,46,67,21,960,1664
82,21,0,0,960,1664
82,94,206,112,960,1664
82,57,0,55,960,1664
82,55,0,0,960,1664
82,88,88,0,960,1664
83,93,167,74,810,1065
83,54,0,20,810,1065
83,20,0,0,810,1065
83,67,120,53,810,1065
83,21,0,32,810,1065
83,22,0,10,810,1065
83,6,0,4,810,1065
83,4,0,0,810,1065
83,90,167,77,810,1065
83,77,0,0,810,1065
84,5,5,0,400,744
84,45,45,0,400,744
84,90,90,0,400,744
84,27,51,24,400,744
84,24,0,0,400,744
84,25,41,16,400,744
84,16,0,0,400,744
84,32,70,38,400,744
84,36,0,2,400,744
84,2,0,0,400,744
85,72,150,78,914,1456
85,78,0,0,914,1456
85,78,117,39,914,1456
85,39,0,0,914,1456
85,89,248,159,914,1456
85,96,0,63,914,1456
85,28,0,35,914,1456
85,35,0,0,914,1456
85,89,172,83,914,1456
85,83,0,0,914,1456
86,69,104,35,1405,1648
86,35,0,0,1405,1648
86,46,147,101,1405,1648
86,78,0,23,1405,1648
86,9,0,14,1405,1648
86,14,0,0,1405,1648
86,16,115,99,1405,1648
86,99,0,0,1405,1648
86,97,106,9,1405,1648
86,9,0,0,1405,1648
87,41,101,60,1512,1593
87,16,0,44,1512,1593
87,44,0,0,1512,1593
87,52,181,129,1512,1593
87,98,0,31,1512,1593
87,22,0,9,1512,1593
87,9,0,0,1512,1593
87,63,208,145,1512,1593
87,59,0,86,1512,1593
87,86,0,0,1512,1593
88,30,30,0,518,1836
88,83,83,0,518,1836
88,77,101,24,518,1836
88,24,0,0,518,1836
88,28,28,0,518,1836
88,100,130,30,518,1836
88,25,0,5,518,1836
88,5,0,0,518,1836
88,78,93,15,518,1836
88,15,0,0,518,1836
89,27,39,12,2352,3875
89,12,0,0,2352,3875
89,86,124,38,2352,3875
89,38,0,0,2352,3875
89,84,147,63,2352,3875
89,63,0,0,2352,3875
89,84,168,84,2352,3875
89,84,0,0,2352,3875
89,92,189,97,2352,3875
89,97,0,0,2352,3875
90,4,174,170,4026,2988
90,93,0,77,4026,2988
90,59,0,18,4026,2988
90,18,0,0,4026,2988
90,50,235,185,4026,2988
90,53,0,132,4026,2988
90,77,0,55,4026,2988
90,55,0,0,4026,2988
90,96,130,34,4026,2988
90,34,0,0,4026,2988
91,65,65,0,95,1463
91,61,63,2,95,1463
91,2,0,0,95,1463
91,31,31,0,95,1463
91,0,0,0,95,1463
91,26,26,0,95,1463
91,46,46,0,95,1463
91,65,65,0,95,1463
91,69,86,17,95,1463
91,17,0,0,95,1463
92,22,22,0,280,1533
92,44,44,0,280,1533
92,92,92,0,280,1533
92,90,97,7,280,1533
92,7,0,0,280,1533
92,81,103,22,280,1533
92,22,0,0,280,1533
92,66,72,6,280,1533
92,6,0,0,280,1533
92,85,85,0,280,1533
93,12,180,168,576,1305
93,87,0,81,576,1305
93,74,0,7,576,1305
93,7,0,0,576,1305
93,73,152,79,576,1305
93,1,0,78,576,1305
93,10,0,68,576,1305
93,68,0,0,576,1305
93,67,162,95,576,1305
93,95,0,0,576,1305
94,80,80,0,822,1360
94,67,111,44,822,1360
94,36,0,8,822,1360
94,8,0,0,822,1360
94,94,134,40,822,1360
94,19,0,21,822,1360
94,21,0,0,822,1360
94,70,94,24,822,1360
94,24,0,0,822,1360
94,74,74,0,822,1360
95,23,87,64,2350,2235
95,64,0,0,2350,2235
95,80,258,178,2350,2235
95,79,0,99,2350,2235
95,55,0,44,2350,2235
95,18,0,26,2350,2235
95,26,0,0,2350,2235
95,91,137,46,2350,2235
95,33,0,13,2350,2235
95,13,0,0,2350,2235
96,18,56,38,416,1488
96,28,0,10,416,1488
96,10,0,0,416,1488
96,63,87,24,416,1488
96,24,0,0,416,1488
96,50,72,22,416,1488
96,15,0,7,416,1488
96,7,0,0,416,1488
96,94,97,3,416,1488
96,3,0,0,416,1488
97,16,128,112,1446,1998
97,54,0,58,1446,1998
97,7,0,51,1446,1998
97,40,0,11,1446,1998
97,11,0,0,1446,1998
97,69,304,235,1446,1998
97,85,0,150,1446,1998
97,60,0,90,1446,1998
97,74,0,16,1446,1998
97,16,0,0,1446,1998
98,76,139,63,848,2223
98,42,0,21,848,2223
98,21,0,0,848,2223
98,89,218,129,848,2223
98,27,0,102,848,2223
98,93,0,9,848,2223
98,8,0,1,848,2223
98,1,0,0,848,2223
98,31,130,99,848,2223
98,99,0,0,848,2223
99,60,148,88,4509,2253
99,69,0,19,4509,2253
99,19,0,0,4509,2253
99,33,209,176,4509,2253
99,100,0,76,4509,2253
99,51,0,25,4509,2253
99,25,0,0,4509,2253
99,71,150,79,4509,2253
99,41,0,38,4509,2253
99,38,0,0,4509,2253
100,73,79,6,3105,2596
100,6,0,0,3105,2596
100,77,140,63,3105,2596
100,63,0,0,3105,2596
100,50,116,66,3105,2596
100,66,0,0,3105,2596
100,83,214,131,3105,2596
100,82,0,49,3105,2596
100,19,0,30,3105,2596
100,30,0,0,3105,2596
101,9,16,7,385,1645
101,7,0,0,385,1645
101,44,44,0,385,1645
101,82,82,0,385,1645
101,85,101,16,385,1645
101,16,0,0,385,1645
101,56,88,32,385,1645
101,32,0,0,385,1645
101,75,75,0,385,1645
101,97,97,0,385,1645
102,55,131,76,1995,3588
102,76,0,0,1995,3588
102,80,93,13,1995,3588
102,13,0,0,1995,3588
102,92,205,113,1995,3588
102,98,0,15,1995,3588
102,15,0,0,1995,3588
102,47,93,46,1995,3588
102,24,0,22,1995,3588
102,22,0,0,1995,3588
103,80,163,83,1465,2504
103,83,0,0,1465,2504
103,72,130,58,1465,2504
103,26,0,32,1465,2504
103,32,0,0,1465,2504
103,48,88,40,1465,2504
103,40,0,0,1465,2504
